"shapeid","x","y"
"0.0","75.403386678","36.784784241"
"0.0","75.401422973","36.825867004"
"0.0","75.394498332","36.864262594"
"0.0","75.377961874","36.894286601"
"0.0","75.351296835","36.915783997"
"0.0","75.313469686","36.928754781"
"0.0","75.195130656","36.948882752"
"0.0","75.161230916","36.964204814"
"0.0","75.132808879","36.984694519"
"0.0","75.118546184","36.991231588"
"0.0","75.100149373","36.994125468"
"0.0","75.014469848","36.984487813"
"0.0","74.976849406","36.984281108"
"0.0","74.94232955","36.976994731"
"0.0","74.924966268","36.970871074"
"0.0","74.910496867","36.962551168"
"0.0","74.900781698","36.94991628"
"0.0","74.891996704","36.920977478"
"0.0","74.885795533","36.911443176"
"0.0","74.87235966","36.907102356"
"0.0","74.866778605","36.916559143"
"0.0","74.860887492","36.946893209"
"0.0","74.85323938","36.958985494"
