"shapeid","x","y"
"0.0","34.299539022","51.23162852"
"0.0","34.336952759","51.251136374"
"0.0","34.371782674","51.256846619"
"0.0","34.408989706","51.253125916"
"0.0","34.480406535","51.236977031"
"0.0","34.513479451","51.229561462"
"0.0","34.578178345","51.23669281"
"0.0","34.608357381","51.234005636"
"0.0","34.622413371","51.224755555"
"0.0","34.62851119","51.2110613"
"0.0","34.633162069","51.195610047"
"0.0","34.642773885","51.180623881"
"0.0","34.657449992","51.171658021"
"0.0","34.674916626","51.167678935"
"0.0","34.748090454","51.164733379"
"0.0","34.817543579","51.174732768"
"0.0","34.899605754","51.196462708"
"0.0","34.946114542","51.214291077"
"0.0","34.961824178","51.215324605"
"0.0","34.980324341","51.209536846"
"0.0","34.99944462","51.202095439"
"0.0","35.018771606","51.20455007"
"0.0","35.038718709","51.210156962"
